School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-14 16:44:38,2019-09-14 12:03:00,2019-09-14 16:41:00,17.7,5.0,19.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-13 16:44:37,2019-09-13 12:03:00,2019-09-13 16:42:00,17.2,7.6,17.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-12 16:44:37,2019-09-12 12:03:00,2019-09-12 16:42:00,14.4,14.0,28.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-11 16:44:35,2019-09-11 12:02:00,2019-09-11 16:42:00,25.5,17.8,25.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-10 16:44:22,2019-09-10 12:01:00,2019-09-10 16:43:00,19.6,12.2,23.5
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-09 16:44:30,2019-09-09 12:01:00,2019-09-09 16:43:00,22.0,8.2,22.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-08 16:44:48,2019-09-08 12:01:00,2019-09-08 16:43:00,21.8,12.1,22.3
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-07 16:44:34,2019-09-07 12:00:00,2019-09-07 16:44:00,17.6,10.7,18.8
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-06 16:44:45,2019-09-06 12:00:00,2019-09-06 16:44:00,18.4,10.9,22.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-05 16:44:37,2019-09-05 12:00:00,2019-09-05 16:44:00,21.3,12.2,26.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-04 16:44:24,2019-09-04 11:59:00,2019-09-04 16:45:00,24.5,16.1,27.4
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-03 16:44:36,2019-09-03 11:59:00,2019-09-03 16:45:00,24.9,14.7,25.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-02 16:44:32,2019-09-02 11:58:00,2019-09-02 16:45:00,21.2,14.8,23.1
